gtin,sku,description,locationGln,locationName,quantityOnHand,uom,status
00012345600050,SKU-WOOF-005-229,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,404,EA,low_stock
00012345600067,SKU-WOOF-006-230,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,1497,EA,low_stock
00012345600074,SKU-WOOF-007-231,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,900,EA,active
00012345600081,SKU-WOOF-008-232,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,164,EA,active
00012345600012,SKU-WOOF-001-233,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,473,EA,active
00012345600029,SKU-WOOF-002-234,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,414,CS,active
00012345600036,SKU-WOOF-003-235,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,850,EA,active
00012345600043,SKU-WOOF-004-236,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,683,CS,reserved
00012345600050,SKU-WOOF-005-237,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,1299,PL,active
00012345600067,SKU-WOOF-006-238,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,903,EA,active
00012345600074,SKU-WOOF-007-239,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,1084,EA,low_stock
00012345600081,SKU-WOOF-008-240,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,498,EA,active
00012345600012,SKU-WOOF-001-241,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,1319,CS,low_stock
00012345600029,SKU-WOOF-002-242,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,676,CS,reserved
00012345600036,SKU-WOOF-003-243,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,1366,PL,active
00012345600043,SKU-WOOF-004-244,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,832,EA,active
00012345600050,SKU-WOOF-005-245,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,606,EA,reserved
00012345600067,SKU-WOOF-006-246,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,676,EA,low_stock
00012345600074,SKU-WOOF-007-247,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,278,EA,active
00012345600081,SKU-WOOF-008-248,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,88,EA,active
00012345600012,SKU-WOOF-001-249,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,1370,EA,low_stock
00012345600029,SKU-WOOF-002-250,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,1434,EA,active
00012345600036,SKU-WOOF-003-251,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,333,CS,low_stock
00012345600043,SKU-WOOF-004-252,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,1308,EA,active
00012345600050,SKU-WOOF-005-253,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,503,CS,low_stock
00012345600067,SKU-WOOF-006-254,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,589,EA,active
00012345600074,SKU-WOOF-007-255,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,1427,CS,low_stock
00012345600081,SKU-WOOF-008-256,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,452,EA,low_stock
00012345600012,SKU-WOOF-001-257,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,627,EA,active
00012345600029,SKU-WOOF-002-258,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,198,EA,active
00012345600036,SKU-WOOF-003-259,Squirrel Detection Radar,0614141000043,Poodle Processing Center,145,EA,active
00012345600043,SKU-WOOF-004-260,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,664,EA,active
00012345600050,SKU-WOOF-005-261,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,874,EA,low_stock
00012345600067,SKU-WOOF-006-262,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,1340,EA,active
00012345600074,SKU-WOOF-007-263,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,370,EA,active
00012345600081,SKU-WOOF-008-264,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,498,EA,low_stock
00012345600012,SKU-WOOF-001-265,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,1141,EA,active
00012345600029,SKU-WOOF-002-266,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,621,EA,active
00012345600036,SKU-WOOF-003-267,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,1215,EA,active
00012345600043,SKU-WOOF-004-268,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,939,EA,active
00012345600050,SKU-WOOF-005-269,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1415,EA,low_stock
00012345600067,SKU-WOOF-006-270,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,360,EA,active
00012345600074,SKU-WOOF-007-271,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,108,CS,active
00012345600081,SKU-WOOF-008-272,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,966,EA,low_stock
00012345600012,SKU-WOOF-001-273,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,446,EA,active
00012345600029,SKU-WOOF-002-274,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,893,EA,active
00012345600036,SKU-WOOF-003-275,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,1408,EA,active
00012345600043,SKU-WOOF-004-276,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,715,EA,active
00012345600050,SKU-WOOF-005-277,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,934,EA,low_stock
00012345600067,SKU-WOOF-006-278,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,174,EA,active
00012345600074,SKU-WOOF-007-279,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,944,EA,active
00012345600081,SKU-WOOF-008-280,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,403,EA,reserved
00012345600012,SKU-WOOF-001-281,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,930,EA,active
00012345600029,SKU-WOOF-002-282,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,533,EA,active
00012345600036,SKU-WOOF-003-283,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,1470,EA,active
00012345600043,SKU-WOOF-004-284,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,792,EA,reserved
00012345600050,SKU-WOOF-005-285,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,68,CS,active
00012345600067,SKU-WOOF-006-286,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,751,EA,active
00012345600074,SKU-WOOF-007-287,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,1049,EA,active
00012345600081,SKU-WOOF-008-288,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,634,CS,active
00012345600012,SKU-WOOF-001-289,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,916,PL,reserved
00012345600029,SKU-WOOF-002-290,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,220,EA,low_stock
00012345600036,SKU-WOOF-003-291,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,1326,EA,active
00012345600043,SKU-WOOF-004-292,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,957,EA,active
00012345600050,SKU-WOOF-005-293,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,557,CS,low_stock
00012345600067,SKU-WOOF-006-294,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,713,EA,reserved
00012345600074,SKU-WOOF-007-295,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,1394,EA,active
00012345600081,SKU-WOOF-008-296,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,201,EA,active
00012345600012,SKU-WOOF-001-297,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,111,CS,reserved
00012345600029,SKU-WOOF-002-298,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,1473,CS,low_stock
00012345600036,SKU-WOOF-003-299,Squirrel Detection Radar,0614141000043,Poodle Processing Center,959,EA,low_stock
00012345600043,SKU-WOOF-004-300,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,943,CS,reserved
00012345600050,SKU-WOOF-005-301,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,507,EA,active
00012345600067,SKU-WOOF-006-302,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,930,EA,active
00012345600074,SKU-WOOF-007-303,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,457,EA,active
00012345600081,SKU-WOOF-008-304,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,903,EA,reserved
00012345600012,SKU-WOOF-001-305,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,253,CS,active
00012345600029,SKU-WOOF-002-306,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,143,EA,active
00012345600036,SKU-WOOF-003-307,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,480,PL,active
00012345600043,SKU-WOOF-004-308,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,1459,EA,low_stock
00012345600050,SKU-WOOF-005-309,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,1096,EA,active
00012345600067,SKU-WOOF-006-310,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,306,EA,active
00012345600074,SKU-WOOF-007-311,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,1274,EA,reserved
00012345600081,SKU-WOOF-008-312,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,1379,CS,reserved
00012345600012,SKU-WOOF-001-313,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,864,EA,active
00012345600029,SKU-WOOF-002-314,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,1456,EA,active
00012345600036,SKU-WOOF-003-315,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,528,EA,active
00012345600043,SKU-WOOF-004-316,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,1217,EA,active
00012345600050,SKU-WOOF-005-317,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,764,EA,low_stock
00012345600067,SKU-WOOF-006-318,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,341,EA,active
00012345600074,SKU-WOOF-007-319,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,825,EA,low_stock
00012345600081,SKU-WOOF-008-320,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,1418,CS,active
00012345600012,SKU-WOOF-001-321,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,608,EA,active
00012345600029,SKU-WOOF-002-322,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,1344,PL,low_stock
00012345600036,SKU-WOOF-003-323,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,989,EA,active
00012345600043,SKU-WOOF-004-324,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,176,EA,active
00012345600050,SKU-WOOF-005-325,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,210,EA,low_stock
00012345600067,SKU-WOOF-006-326,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,1096,EA,active
00012345600074,SKU-WOOF-007-327,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,410,EA,active
00012345600081,SKU-WOOF-008-328,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,751,CS,low_stock
00012345600012,SKU-WOOF-001-329,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,938,EA,active
00012345600029,SKU-WOOF-002-330,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,588,EA,active
00012345600036,SKU-WOOF-003-331,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,734,EA,active
00012345600043,SKU-WOOF-004-332,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,1361,EA,active
00012345600050,SKU-WOOF-005-333,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,1243,PL,reserved
00012345600067,SKU-WOOF-006-334,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,999,EA,active
00012345600074,SKU-WOOF-007-335,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,115,EA,active
00012345600081,SKU-WOOF-008-336,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,692,EA,active
00012345600012,SKU-WOOF-001-337,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,203,CS,low_stock
00012345600029,SKU-WOOF-002-338,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,1432,EA,active
00012345600036,SKU-WOOF-003-339,Squirrel Detection Radar,0614141000043,Poodle Processing Center,1170,EA,active
00012345600043,SKU-WOOF-004-340,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,1429,EA,reserved
00012345600050,SKU-WOOF-005-341,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,756,CS,active
00012345600067,SKU-WOOF-006-342,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,1455,EA,active
00012345600074,SKU-WOOF-007-343,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,825,CS,active
00012345600081,SKU-WOOF-008-344,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,755,EA,active
00012345600012,SKU-WOOF-001-345,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,1275,EA,active
00012345600029,SKU-WOOF-002-346,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,1190,EA,active
00012345600036,SKU-WOOF-003-347,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,284,EA,reserved
00012345600043,SKU-WOOF-004-348,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,1156,EA,active
00012345600050,SKU-WOOF-005-349,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,70,CS,low_stock
00012345600067,SKU-WOOF-006-350,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,1016,EA,low_stock
00012345600074,SKU-WOOF-007-351,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,379,CS,active
00012345600081,SKU-WOOF-008-352,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,1087,EA,active
00012345600012,SKU-WOOF-001-353,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,202,EA,low_stock
00012345600029,SKU-WOOF-002-354,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,490,EA,active
00012345600036,SKU-WOOF-003-355,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,761,PL,active
00012345600043,SKU-WOOF-004-356,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,1419,PL,active
00012345600050,SKU-WOOF-005-357,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,295,CS,active
00012345600067,SKU-WOOF-006-358,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,1345,EA,active
00012345600074,SKU-WOOF-007-359,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,240,EA,active
00012345600081,SKU-WOOF-008-360,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,211,EA,low_stock
00012345600012,SKU-WOOF-001-361,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,652,CS,active
00012345600029,SKU-WOOF-002-362,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,1211,EA,active
00012345600036,SKU-WOOF-003-363,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,1485,EA,active
00012345600043,SKU-WOOF-004-364,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,1047,PL,active
00012345600050,SKU-WOOF-005-365,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,1485,EA,active
00012345600067,SKU-WOOF-006-366,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,1285,EA,active
00012345600074,SKU-WOOF-007-367,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,1437,EA,active
00012345600081,SKU-WOOF-008-368,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,930,CS,active
00012345600012,SKU-WOOF-001-369,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,1088,EA,active
00012345600029,SKU-WOOF-002-370,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,1452,EA,active
00012345600036,SKU-WOOF-003-371,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,752,EA,active
00012345600043,SKU-WOOF-004-372,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,318,CS,active
00012345600050,SKU-WOOF-005-373,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,365,CS,active
00012345600067,SKU-WOOF-006-374,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,355,EA,active
00012345600074,SKU-WOOF-007-375,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,577,EA,active
00012345600081,SKU-WOOF-008-376,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,111,EA,active
00012345600012,SKU-WOOF-001-377,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,1352,EA,active
00012345600029,SKU-WOOF-002-378,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,740,EA,low_stock
00012345600036,SKU-WOOF-003-379,Squirrel Detection Radar,0614141000043,Poodle Processing Center,679,EA,active
00012345600043,SKU-WOOF-004-380,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,1153,EA,low_stock
00012345600050,SKU-WOOF-005-381,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,306,EA,active
00012345600067,SKU-WOOF-006-382,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,130,EA,active
00012345600074,SKU-WOOF-007-383,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,1336,CS,active
00012345600081,SKU-WOOF-008-384,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,1360,CS,reserved
00012345600012,SKU-WOOF-001-385,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,435,EA,active
00012345600029,SKU-WOOF-002-386,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,253,EA,active
00012345600036,SKU-WOOF-003-387,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,971,CS,active
00012345600043,SKU-WOOF-004-388,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,916,CS,active
00012345600050,SKU-WOOF-005-389,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,942,EA,active
00012345600067,SKU-WOOF-006-390,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,1406,EA,active
00012345600074,SKU-WOOF-007-391,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,81,EA,low_stock
00012345600081,SKU-WOOF-008-392,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,1316,EA,low_stock
00012345600012,SKU-WOOF-001-393,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,1439,EA,active
00012345600029,SKU-WOOF-002-394,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,1056,EA,low_stock
00012345600036,SKU-WOOF-003-395,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,99,EA,active
00012345600043,SKU-WOOF-004-396,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,771,EA,active
00012345600050,SKU-WOOF-005-397,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,224,EA,active
00012345600067,SKU-WOOF-006-398,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,312,EA,active
00012345600074,SKU-WOOF-007-399,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,944,PL,reserved
00012345600081,SKU-WOOF-008-400,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,766,EA,reserved
00012345600012,SKU-WOOF-001-401,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,317,EA,active
00012345600029,SKU-WOOF-002-402,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,991,EA,active
00012345600036,SKU-WOOF-003-403,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,227,PL,active
00012345600043,SKU-WOOF-004-404,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,1354,EA,active
00012345600050,SKU-WOOF-005-405,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,1462,EA,low_stock
00012345600067,SKU-WOOF-006-406,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,1055,EA,active
00012345600074,SKU-WOOF-007-407,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,906,CS,active
00012345600081,SKU-WOOF-008-408,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,473,EA,active
00012345600012,SKU-WOOF-001-409,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,74,EA,reserved
00012345600029,SKU-WOOF-002-410,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,503,EA,active
00012345600036,SKU-WOOF-003-411,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,1188,EA,reserved
00012345600043,SKU-WOOF-004-412,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,731,EA,active
00012345600050,SKU-WOOF-005-413,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,423,EA,active
00012345600067,SKU-WOOF-006-414,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,1248,CS,active
00012345600074,SKU-WOOF-007-415,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,183,PL,active
00012345600081,SKU-WOOF-008-416,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,1104,CS,active
00012345600012,SKU-WOOF-001-417,Premium Belly Rub Machine,0614141000029,Labrador Logistics Hub,1180,EA,active
00012345600029,SKU-WOOF-002-418,Tennis Ball Launcher 3000,0614141000036,German Shepherd Sorting Facility,1418,CS,active
00012345600036,SKU-WOOF-003-419,Squirrel Detection Radar,0614141000043,Poodle Processing Center,70,EA,low_stock
00012345600043,SKU-WOOF-004-420,Anti-Mailman Defense System,0614141000050,Bulldog Bulk Warehouse,347,EA,low_stock
00012345600050,SKU-WOOF-005-421,Automatic Treat Dispenser Pro,0614141000012,Golden Retriever Distribution Center,765,EA,active
00012345600067,SKU-WOOF-006-422,Indestructible Chew Toy (Ha Right),0614141000029,Labrador Logistics Hub,1242,EA,low_stock
00012345600074,SKU-WOOF-007-423,Self-Cleaning Dog Bath Station,0614141000036,German Shepherd Sorting Facility,1331,EA,reserved
00012345600081,SKU-WOOF-008-424,AI-Powered Smart Dog Door,0614141000043,Poodle Processing Center,881,EA,low_stock
00012345600012,SKU-WOOF-001-425,Premium Belly Rub Machine,0614141000050,Bulldog Bulk Warehouse,881,EA,reserved
00012345600029,SKU-WOOF-002-426,Tennis Ball Launcher 3000,0614141000012,Golden Retriever Distribution Center,518,EA,active
00012345600036,SKU-WOOF-003-427,Squirrel Detection Radar,0614141000029,Labrador Logistics Hub,176,CS,active
00012345600043,SKU-WOOF-004-428,Anti-Mailman Defense System,0614141000036,German Shepherd Sorting Facility,229,EA,low_stock
00012345600050,SKU-WOOF-005-429,Automatic Treat Dispenser Pro,0614141000043,Poodle Processing Center,334,EA,low_stock
00012345600067,SKU-WOOF-006-430,Indestructible Chew Toy (Ha Right),0614141000050,Bulldog Bulk Warehouse,1452,EA,reserved
00012345600074,SKU-WOOF-007-431,Self-Cleaning Dog Bath Station,0614141000012,Golden Retriever Distribution Center,1276,EA,reserved
00012345600081,SKU-WOOF-008-432,AI-Powered Smart Dog Door,0614141000029,Labrador Logistics Hub,1500,EA,active
00012345600012,SKU-WOOF-001-433,Premium Belly Rub Machine,0614141000036,German Shepherd Sorting Facility,485,EA,low_stock
00012345600029,SKU-WOOF-002-434,Tennis Ball Launcher 3000,0614141000043,Poodle Processing Center,97,CS,active
00012345600036,SKU-WOOF-003-435,Squirrel Detection Radar,0614141000050,Bulldog Bulk Warehouse,600,EA,active
00012345600043,SKU-WOOF-004-436,Anti-Mailman Defense System,0614141000012,Golden Retriever Distribution Center,174,EA,active
00012345600050,SKU-WOOF-005-437,Automatic Treat Dispenser Pro,0614141000029,Labrador Logistics Hub,102,EA,active
00012345600067,SKU-WOOF-006-438,Indestructible Chew Toy (Ha Right),0614141000036,German Shepherd Sorting Facility,257,EA,low_stock
00012345600074,SKU-WOOF-007-439,Self-Cleaning Dog Bath Station,0614141000043,Poodle Processing Center,1163,EA,low_stock
00012345600081,SKU-WOOF-008-440,AI-Powered Smart Dog Door,0614141000050,Bulldog Bulk Warehouse,193,CS,low_stock
00012345600012,SKU-WOOF-001-441,Premium Belly Rub Machine,0614141000012,Golden Retriever Distribution Center,907,CS,active
00012345600029,SKU-WOOF-002-442,Tennis Ball Launcher 3000,0614141000029,Labrador Logistics Hub,605,EA,active
00012345600036,SKU-WOOF-003-443,Squirrel Detection Radar,0614141000036,German Shepherd Sorting Facility,1372,PL,active
00012345600043,SKU-WOOF-004-444,Anti-Mailman Defense System,0614141000043,Poodle Processing Center,306,CS,active
00012345600050,SKU-WOOF-005-445,Automatic Treat Dispenser Pro,0614141000050,Bulldog Bulk Warehouse,623,EA,reserved
00012345600067,SKU-WOOF-006-446,Indestructible Chew Toy (Ha Right),0614141000012,Golden Retriever Distribution Center,167,CS,active
00012345600074,SKU-WOOF-007-447,Self-Cleaning Dog Bath Station,0614141000029,Labrador Logistics Hub,1106,EA,active
00012345600081,SKU-WOOF-008-448,AI-Powered Smart Dog Door,0614141000036,German Shepherd Sorting Facility,180,PL,low_stock
00012345600012,SKU-WOOF-001-449,Premium Belly Rub Machine,0614141000043,Poodle Processing Center,453,EA,active
00012345600029,SKU-WOOF-002-450,Tennis Ball Launcher 3000,0614141000050,Bulldog Bulk Warehouse,1284,EA,active
00012345600036,SKU-WOOF-003-451,Squirrel Detection Radar,0614141000012,Golden Retriever Distribution Center,732,EA,active
00012345600043,SKU-WOOF-004-452,Anti-Mailman Defense System,0614141000029,Labrador Logistics Hub,1019,EA,active
00012345600050,SKU-WOOF-005-453,Automatic Treat Dispenser Pro,0614141000036,German Shepherd Sorting Facility,224,CS,low_stock
00012345600067,SKU-WOOF-006-454,Indestructible Chew Toy (Ha Right),0614141000043,Poodle Processing Center,1253,EA,active
00012345600074,SKU-WOOF-007-455,Self-Cleaning Dog Bath Station,0614141000050,Bulldog Bulk Warehouse,142,EA,low_stock
00012345600081,SKU-WOOF-008-456,AI-Powered Smart Dog Door,0614141000012,Golden Retriever Distribution Center,191,EA,reserved
